title,publishedAt,source,url,tesla_sentences,title_sentiment_score,title_sentiment_magnitude
Police probe arson attack linked to Tesla plant in Berlin,2025-02-27T00:09:00Z,DW (English),https://www.dw.com/en/police-probe-arson-attack-linked-to-tesla-plant-in-berlin/a-71763828,"German police said on they are investigating an ""assumed"" arson attack at a Berlin construction site after activists reportedly claimed responsibility as they protested an expansion of a Tesla factor… [+2254 chars]",-0.5,0.5
Tesla Model 3 touchscreen testing - pictures,2025-02-27T10:23:11Z,AutoExpress,https://www.autoexpress.co.uk/tesla/model-3/366012/tesla-model-3-touchscreen-testing-pictures,Pictures of the Auto Express team testing the Tesla Model 3's infotainment system.,0.0,0.0
New Tesla Model Y facelift 2025 review: more comfortable and refined than ever,2025-02-27T10:06:43Z,AutoExpress,https://www.autoexpress.co.uk/tesla/model-y/366050/new-tesla-model-y-facelift-2025-review-more-comfortable-and-refined-ever,"The updated Tesla Model Y is an improvement over its predecessor, but many of its criticisms remain | The new Tesla Model Y retains some of the quirks of its predecessor, and so comes with many of the same criticisms.",0.800000011920929,0.800000011920929
Tesla owners sour on Musk's venture into U.S. politics,2025-02-27T03:14:02Z,Japan Today,https://japantoday.com/category/business/tesla-owners-sour-on-musk%27s-venture-into-us-politics,"Tom Blackburn was so proud of his Tesla, he even bought one in bright red to stand out. | Tom Blackburn was so proud of his Tesla, he even bought one in bright red to stand out.",-0.800000011920929,0.800000011920929
Tesla partners with Steak ‘n Shake on Superchargers with up to more than 100 locations,2025-02-28T17:51:22Z,Electrek,http://electrek.co/2025/02/28/tesla-partners-with-steak-n-shake-on-superchargers-with-up-to-more-than-100-locations/,"Tesla has partnered with Steak ‘n Shake to deploy Superchargers at up to more than 100 restaurant locations. | (Source: Tesla)
Tesla has partnered with Steak ‘n Shake to deploy Superchargers at up to more than 100 restaurant locations.
The partnership between Tesla and the American fast food chain has been … [+1183 chars]",0.30000001192092896,0.30000001192092896
Elon Musk ‘cancels’ Tesla engineer for complaining about the CEO’s behavior,2025-02-28T16:20:15Z,Electrek,http://electrek.co/2025/02/28/elon-musk-cancels-tesla-engineer-for-complaining-about-the-ceos-behavior/,"Elon Musk has reportedly ‘canceled’ a Tesla engineer for complaining about the CEO’s behaviors on social media. | Elon Musk has reportedly canceled a Tesla engineer for complaining about the CEOs behaviors on social media.
As we recently reported, Tesla insiders are finally starting to speak out against Elon Mu… [+2240 chars]",-0.800000011920929,0.800000011920929
Tesla Stockholder Dave Portnoy Tells Fox Elon Musk Should Answer Same DOGE Email He Sent Federal Workers As Stock Drops,2025-02-28T20:12:15Z,Mediaite,https://www.mediaite.com/tv/tesla-stockholder-dave-portnoy-tells-fox-elon-musk-should-answer-same-doge-email-he-sent-federal-workers-as-stock-drops/,"Dave Portnoy argued Elon Musk should answer the same email sent to federal employees by his DOGE (Department of Government Efficiency).
The post Tesla Stockholder Dave Portnoy Tells Fox Elon Musk Should Answer Same DOGE Email He Sent Federal Workers As Stock … | Barstool Sports founder and Tesla stockholder Dave Portnoy argued Elon Musk should answer the same email sent to federal employees by his Department of Government Efficiency demanding they provide ev… [+1595 chars]",-0.20000000298023224,0.20000000298023224
Tesla can already deliver new Model Y orders within 2 weeks in China – demand problem?,2025-02-28T20:43:42Z,Electrek,http://electrek.co/2025/02/28/tesla-can-already-deliver-new-model-y-orders-within-2-weeks-in-china-demand-problem/,"Tesla says it can deliver new orders for the refreshed Model Y within two weeks in China. | Tesla says it can deliver new orders for the refreshed Model Y within two weeks in China. | Is the automaker already experiencing a demand problem with the new Model Y?
Last month, Tesla launched the … [+1721 chars]",-0.20000000298023224,0.20000000298023224
US union chief calls on fund managers to review Tesla valuation,2025-02-27T21:48:25Z,Yahoo Entertainment,https://finance.yahoo.com/news/us-union-chief-calls-fund-214825151.html,labor unions on Thursday called on top asset managers to review Tesla's valuation as the electric carmaker's shares... | labor unions on Thursday called on top asset managers to review Tesla's valuation as the electric carmaker's shares have slumped 30% … [+1263 chars],-0.30000001192092896,0.30000001192092896
Tesla Takes Brand Loyalty Prize,2025-02-27T23:10:00Z,Newser,https://www.newser.com/story/364935/tesla-gm-take-brand-loyalty-honors.html,"Tesla owners stand by Elon Musk's product, even though there's evidence the billionaire is unpopular among Americans at large. | Tesla is the big winner in S&P Global Mobility's annual Automotive Loyalty Awards for the third straight year, taking the prize for … | Tesla owners stand by Elon Musk's product, even though there's evidence the billionaire is unpopular among Americans at large. | Tesla is the big winner in S&amp;P Global Mobility's annual Automotive L… [+594 chars]",-0.20000000298023224,0.20000000298023224
