date,vader_compound,vader_label
2024-12-22,0.9142,POSITIVE
2024-12-27,0.0,NEUTRAL
2024-12-01,-0.7506,NEGATIVE
2024-12-19,-0.25,NEGATIVE
2024-12-29,-0.5106,NEGATIVE
2024-12-11,-0.8478,NEGATIVE
2024-12-23,-0.5815,NEGATIVE
2024-12-11,0.4927,POSITIVE
2024-12-25,0.0,NEUTRAL
2024-12-19,0.9097,POSITIVE
2024-12-19,0.8301,POSITIVE
2024-12-09,-0.2617,NEGATIVE
2024-12-19,0.0,NEUTRAL
2024-12-10,0.1926,POSITIVE
2024-12-08,0.4404,POSITIVE
2024-12-24,0.906,POSITIVE
2024-12-11,-0.7003,NEGATIVE
2024-12-19,-0.7351,NEGATIVE
2024-12-24,0.7003,POSITIVE
2024-12-22,0.4957,POSITIVE
2024-12-20,-0.128,NEGATIVE
2024-12-28,0.7371,POSITIVE
2024-12-23,0.6516,POSITIVE
2024-12-19,-0.5719,NEGATIVE
2024-12-17,-0.4571,NEGATIVE
2024-12-17,0.0,NEUTRAL
2024-12-03,-0.296,NEGATIVE
2024-12-27,0.0,NEUTRAL
2024-12-20,-0.6114,NEGATIVE
2024-12-23,-0.6674,NEGATIVE
2024-12-02,0.8316,POSITIVE
2024-12-12,0.9186,POSITIVE
2024-12-22,0.4831,POSITIVE
2024-12-22,0.8687,POSITIVE
2024-12-22,0.0,NEUTRAL
2024-12-14,-0.872,NEGATIVE
2024-12-21,0.0,NEUTRAL
2024-12-05,-0.296,NEGATIVE
2024-12-23,-0.3612,NEGATIVE
2024-12-09,0.4754,POSITIVE
2024-12-14,0.8388,POSITIVE
2024-12-04,-0.3114,NEGATIVE
2024-12-25,-0.9661,NEGATIVE
2024-12-22,0.7482,POSITIVE
2024-12-20,0.0,NEUTRAL
2024-12-26,0.1198,POSITIVE
2024-12-15,-0.5582,NEGATIVE
2024-12-03,0.8001,POSITIVE
2024-12-11,-0.4588,NEGATIVE
2024-12-23,0.296,POSITIVE
2024-12-23,0.9039,POSITIVE
2024-12-20,0.8847,POSITIVE
2024-12-30,0.0,NEUTRAL
2024-12-19,-0.4939,NEGATIVE
2024-12-21,-0.4939,NEGATIVE
2024-12-22,0.6827,POSITIVE
2024-12-28,0.9639,POSITIVE
2024-12-02,0.2023,POSITIVE
2024-12-01,0.2869,POSITIVE
2024-12-21,-0.8292,NEGATIVE
2024-12-08,0.9493,POSITIVE
2024-12-16,-0.6697,NEGATIVE
2024-12-13,-0.834,NEGATIVE
2024-12-20,0.3612,POSITIVE
2024-12-23,0.9853,POSITIVE
2024-12-23,0.0,NEUTRAL
2024-12-11,-0.1531,NEGATIVE
2024-12-14,-0.3962,NEGATIVE
2024-12-26,-0.3412,NEGATIVE
2024-12-21,-0.357,NEGATIVE
2024-12-02,0.2732,POSITIVE
2024-12-29,-0.1779,NEGATIVE
2024-12-22,0.5719,POSITIVE
2024-12-04,-0.5106,NEGATIVE
2024-12-12,0.3384,POSITIVE
2024-12-19,0.0,NEUTRAL
2024-12-23,0.296,POSITIVE
2024-12-28,0.0258,NEUTRAL
2024-12-28,-0.7098,NEGATIVE
2024-12-11,0.0,NEUTRAL
2024-12-30,0.0,NEUTRAL
2024-12-24,0.1243,POSITIVE
2024-12-18,0.1027,POSITIVE
2024-12-04,-0.8442,NEGATIVE
2024-12-28,-0.7778,NEGATIVE
2024-12-12,0.6387,POSITIVE
2024-12-03,0.0,NEUTRAL
2024-12-27,0.0,NEUTRAL
2024-12-17,-0.0258,NEUTRAL
2024-12-21,-0.3535,NEGATIVE
2024-12-19,-0.2263,NEGATIVE
2024-12-21,0.0,NEUTRAL
2024-12-20,-0.25,NEGATIVE
2024-12-30,0.0,NEUTRAL
2024-12-05,0.6966,POSITIVE
2024-12-09,0.776,POSITIVE
2024-12-19,-0.9892,NEGATIVE
2024-12-24,-0.5423,NEGATIVE
2024-12-25,0.4181,POSITIVE
2024-12-13,-0.9896,NEGATIVE
2024-12-20,-0.8091,NEGATIVE
2024-12-22,-0.3415,NEGATIVE
2024-12-15,-0.4767,NEGATIVE
2024-12-10,0.6124,POSITIVE
2024-12-07,0.8316,POSITIVE
2024-12-17,0.7289,POSITIVE
2024-12-22,-0.5574,NEGATIVE
2024-12-02,-0.7528,NEGATIVE
2024-12-01,0.6987,POSITIVE
