date,open,close
2024-04-19,148.97,147.05
2024-04-22,140.56,142.05
2024-04-23,143.33,144.68
2024-04-24,162.84,162.13
2024-04-25,158.96,170.18
2024-04-26,168.85,168.29
2024-04-29,188.42,194.05
2024-04-30,186.98,183.28
2024-05-01,182.0,179.99
2024-05-02,182.86,180.01
2024-05-03,182.1,181.19
2024-05-06,183.8,184.76
2024-05-07,182.4,177.81
2024-05-08,171.59,174.72
2024-05-09,175.01,171.97
2024-05-10,173.05,168.47
2024-05-13,170.0,171.89
2024-05-14,174.5,177.55
2024-05-15,179.9,173.99
2024-05-16,174.1,174.84
2024-05-17,173.55,177.46
2024-05-20,177.56,174.95
2024-05-21,175.51,186.6
2024-05-22,182.85,180.11
2024-05-23,181.8,173.74
2024-05-24,174.84,179.24
2024-05-28,176.4,176.75
2024-05-29,174.19,176.19
2024-05-30,178.58,178.79
2024-05-31,178.5,178.08
2024-06-03,178.13,176.29
2024-06-04,174.78,174.77
2024-06-05,175.35,175.0
2024-06-06,174.6,177.94
2024-06-07,176.13,177.48
2024-06-10,176.06,173.79
2024-06-11,173.92,170.66
2024-06-12,171.12,177.29
2024-06-13,188.39,182.47
2024-06-14,185.8,178.01
2024-06-17,177.92,187.44
2024-06-18,186.56,184.86
2024-06-20,184.68,181.57
2024-06-21,182.3,183.01
2024-06-24,184.97,182.58
2024-06-25,184.4,187.35
2024-06-26,186.54,196.37
2024-06-27,195.17,197.42
2024-06-28,199.55,197.88
2024-07-01,201.02,209.86
2024-07-02,218.89,231.26
2024-07-03,234.56,246.39
2024-07-05,249.81,251.52
2024-07-08,247.71,252.94
2024-07-09,251.0,262.33
2024-07-10,262.8,263.26
2024-07-11,263.3,241.03
2024-07-12,235.8,248.23
2024-07-15,255.97,252.64
2024-07-16,255.31,256.56
2024-07-17,252.73,248.5
2024-07-18,251.09,249.23
2024-07-19,247.79,239.2
2024-07-22,244.21,251.51
2024-07-23,253.6,246.38
2024-07-24,225.42,215.99
2024-07-25,216.8,220.25
2024-07-26,221.19,219.8
2024-07-29,224.9,232.1
2024-07-30,232.25,222.62
2024-07-31,227.9,232.07
2024-08-01,227.69,216.86
2024-08-02,214.88,207.67
2024-08-05,185.22,198.88
2024-08-06,200.75,200.64
2024-08-07,200.77,191.76
2024-08-08,195.7,198.84
2024-08-09,197.05,200.0
2024-08-12,199.02,197.49
2024-08-13,198.47,207.83
2024-08-14,207.39,201.38
2024-08-15,205.02,214.14
2024-08-16,211.15,216.12
2024-08-19,217.07,222.72
2024-08-20,224.88,221.1
2024-08-21,222.67,223.27
2024-08-22,223.82,210.66
2024-08-23,214.46,220.32
2024-08-26,218.75,213.21
2024-08-27,213.25,209.21
2024-08-28,209.72,205.75
2024-08-29,209.8,206.28
2024-08-30,208.63,214.11
2024-09-03,215.26,210.6
2024-09-04,210.59,219.41
2024-09-05,223.49,230.17
2024-09-06,232.6,210.73
2024-09-09,216.2,216.27
2024-09-10,220.07,226.17
2024-09-11,224.55,228.13
2024-09-12,224.66,229.81
2024-09-13,228.0,230.29
2024-09-16,229.3,226.78
2024-09-17,229.45,227.87
2024-09-18,230.09,227.2
2024-09-19,234.0,243.92
2024-09-20,241.52,238.25
2024-09-23,242.61,250.0
2024-09-24,254.08,254.27
2024-09-25,252.54,257.02
2024-09-26,260.6,254.22
2024-09-27,257.38,260.46
2024-09-30,259.04,261.63
2024-10-01,262.67,258.02
2024-10-02,247.55,249.02
2024-10-03,244.48,240.66
2024-10-04,246.69,250.08
2024-10-07,249.0,240.83
2024-10-08,243.56,244.5
2024-10-09,243.82,241.05
2024-10-10,241.81,238.77
2024-10-11,220.13,217.8
2024-10-14,220.13,219.16
2024-10-15,220.01,219.57
2024-10-16,221.4,221.33
2024-10-17,221.59,220.89
2024-10-18,220.71,220.7
2024-10-21,218.9,218.85
2024-10-22,217.31,217.97
2024-10-23,217.13,213.65
2024-10-24,244.68,260.48
2024-10-25,256.01,269.19
2024-10-28,270.0,262.51
2024-10-29,264.51,259.52
2024-10-30,258.04,257.55
2024-10-31,257.99,249.85
2024-11-01,252.04,248.98
2024-11-04,244.56,242.84
2024-11-05,247.34,251.44
2024-11-06,284.67,288.53
2024-11-07,288.89,296.91
2024-11-08,299.14,321.22
2024-11-11,346.3,350.0
2024-11-12,342.74,328.49
2024-11-13,335.85,330.24
2024-11-14,327.69,311.18
2024-11-15,310.57,320.72
2024-11-18,340.73,338.74
2024-11-19,335.76,346.0
2024-11-20,345.0,342.03
2024-11-21,343.81,339.64
2024-11-22,341.09,352.56
2024-11-25,360.14,338.59
2024-11-26,341.0,338.23
2024-11-27,341.8,332.89
2024-11-29,336.08,345.16
2024-12-02,352.38,357.09
2024-12-03,351.8,351.42
2024-12-04,353.0,357.93
2024-12-05,359.87,369.49
2024-12-06,377.42,389.22
2024-12-09,397.61,389.79
2024-12-10,392.68,400.99
2024-12-11,409.7,424.77
2024-12-12,424.84,418.1
2024-12-13,420.0,436.23
2024-12-16,441.09,463.02
2024-12-17,475.9,479.86
2024-12-18,466.5,440.13
2024-12-19,451.88,436.17
2024-12-20,425.51,421.06
2024-12-23,431.0,430.6
2024-12-24,435.9,462.28
2024-12-26,465.16,454.13
2024-12-27,449.52,431.66
2024-12-30,419.4,417.41
